strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available
fedavg,1,2.3026034832000732,0.08666666597127914,0.4384981393814087,0.8633333444595337,float32,16.701054334640503,900136,72.7,79.8,793710592
fedavg,2,2.3026034832000732,0.08666666597127914,0.6404640674591064,0.7900000214576721,float32,40.108762979507446,900136,88.0,96.1,153989120
fedavg,3,2.3026034832000732,0.08666666597127914,1.2105262279510498,0.5575000047683716,float32,41.738295555114746,900136,87.0,94.8,205504512
fedavg,4,2.3026034832000732,0.08666666597127914,2.3010966777801514,0.12291666865348816,float32,38.6638298034668,900136,47.4,95.3,183709696
fedavg,5,2.3026034832000732,0.08666666597127914,0.3440009653568268,0.8958333134651184,float32,326.45059466362,900136,84.1,81.9,710135808
fedavg,2,2.302617311477661,0.054999999701976776,0.4067762494087219,0.8812500238418579,float32,38.91353225708008,900136,84.5,89.2,423145472
fedavg,3,2.302617311477661,0.054999999701976776,0.39409810304641724,0.8858333230018616,float32,38.06861925125122,900136,89.9,90.5,373030912
fedavg,4,2.302617311477661,0.054999999701976776,0.3535204529762268,0.8970833420753479,float32,38.550339460372925,900136,88.9,92.0,315117568
fedavg,5,2.302617311477661,0.054999999701976776,2.3010945320129395,0.11124999821186066,float32,294.61481046676636,900136,85.1,87.2,501301248
fedavg,2,2.302577018737793,0.12083332985639572,0.3299521803855896,0.9012500047683716,float32,37.9630765914917,900136,78.3,83.2,658501632
fedavg,3,2.302577018737793,0.12083332985639572,0.33338120579719543,0.8941666483879089,float32,36.49775171279907,900136,84.1,91.8,322154496
fedavg,4,2.302577018737793,0.12083332985639572,0.3375927805900574,0.8916666507720947,float32,37.84928917884827,900136,75.1,94.3,223494144
fedavg,5,2.302577018737793,0.12083332985639572,0.3603614568710327,0.8887500166893005,float32,40.98204255104065,900136,82.5,91.6,329814016
