strategy,round,loss_before,acc_before,loss_after,acc_after,quant,train_time,model_size_bytes,cpu_percent,ram_percent,ram_available
fedavg,1,2.30258846282959,0.09875000268220901,0.37466636300086975,0.8949999809265137,float32,16.848916053771973,900136,73.1,79.9,788672512
fedavg,2,2.30258846282959,0.09875000268220901,0.40534618496894836,0.8804166913032532,float32,41.598594427108765,900136,87.2,94.7,207593472
fedavg,3,2.30258846282959,0.09875000268220901,0.46559855341911316,0.8495833277702332,float32,82.07073378562927,900136,48.6,93.6,250470400
fedavg,4,2.30258846282959,0.09875000268220901,0.31321829557418823,0.9024999737739563,float32,40.34404420852661,900136,88.9,93.5,254902272
fedavg,1,2.3026411533355713,0.04541666805744171,0.4495663046836853,0.8708333373069763,float32,14.579565048217773,900136,71.8,79.4,808112128
fedavg,2,2.3026411533355713,0.04541666805744171,0.7339257597923279,0.7749999761581421,float32,37.32177257537842,900136,90.2,89.3,421761024
fedavg,3,2.3026411533355713,0.04541666805744171,2.3009145259857178,0.11874999850988388,float32,36.977837562561035,900136,90.0,91.5,334749696
fedavg,4,2.3026411533355713,0.04541666805744171,1.4040307998657227,0.5558333396911621,float32,36.73719787597656,900136,88.9,95.5,177729536
fedavg,5,2.3026411533355713,0.04541666805744171,0.3107735812664032,0.90625,float32,294.06369280815125,900136,85.1,87.1,505249792
fedavg,1,2.3025660514831543,0.1158333346247673,0.3454432785511017,0.89041668176651,float32,19.675620317459106,900136,70.1,73.7,1033678848
fedavg,2,2.3025660514831543,0.1158333346247673,2.300015926361084,0.12458333373069763,float32,36.197598457336426,900136,83.0,86.2,542949376
fedavg,3,2.3025660514831543,0.1158333346247673,0.3133545219898224,0.9045833349227905,float32,35.3460590839386,900136,84.2,92.0,315162624
fedavg,4,2.3025660514831543,0.1158333346247673,0.401516318321228,0.8758333325386047,float32,36.345420122146606,900136,74.9,94.2,229019648
fedavg,5,2.3025660514831543,0.1158333346247673,0.336785227060318,0.9004166722297668,float32,39.31121754646301,900136,82.5,91.8,321339392
